All the cities in a continent organised by largest population to smallest
Moscow	 | 	Russian Federation	 | 	Moscow (City)	 | 	8389200
Livorno	 | 	Italy	 | 	Toscana	 | 	161673
Aalborg	 | 	Denmark	 | 	Nordjylland	 | 	161161
Leverkusen	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	160841
Toulon	 | 	France	 | 	Provence-Alpes-Côte	 | 	160639
Breda	 | 	Netherlands	 | 	Noord-Brabant	 | 	160398
Kovrov	 | 	Russian Federation	 | 	Vladimir	 | 	159900
Ruda Slaska	 | 	Poland	 | 	Slaskie	 | 	159665
Salamanca	 | 	Spain	 | 	Castilla and León	 | 	158720
Szeged	 | 	Hungary	 | 	Csongrád	 | 	158158
Nahodka	 | 	Russian Federation	 | 	Primorje	 | 	157700
Pécs	 | 	Hungary	 | 	Baranya	 | 	157332
Ussurijsk	 | 	Russian Federation	 | 	Primorje	 | 	157300
Salavat	 | 	Russian Federation	 | 	Baškortostan	 | 	156800
Perugia	 | 	Italy	 | 	Umbria	 | 	156673
Brighton	 | 	United Kingdom	 | 	England	 | 	156124
Peterborough	 | 	United Kingdom	 | 	England	 | 	156000
Mytištši	 | 	Russian Federation	 | 	Moskova	 | 	155700
Priština	 | 	Yugoslavia	 | 	Kosovo and Metohija	 | 	155496
Foggia	 | 	Italy	 | 	Apulia	 | 	154891
Oldenburg	 | 	Germany	 | 	Niedersachsen	 | 	154125
Apeldoorn	 | 	Netherlands	 | 	Gelderland	 | 	153491
Balti	 | 	Moldova	 | 	Balti	 | 	153400
Patras	 | 	Greece	 | 	West Greece	 | 	153344
Grenoble	 | 	France	 | 	Rhône-Alpes	 | 	153317
Nijmegen	 | 	Netherlands	 | 	Gelderland	 | 	152463
Angers	 | 	France	 | 	Pays de la Loire	 | 	151279
Blackpool	 | 	United Kingdom	 | 	England	 | 	151000
Borisov	 | 	Belarus	 | 	Minsk	 | 	151000
Kolomna	 | 	Russian Federation	 | 	Moskova	 | 	150700
Trondheim	 | 	Norway	 | 	Sør-Trøndelag	 | 	150166
Dijon	 | 	France	 | 	Bourgogne	 | 	149867
Neuss	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	149702
Baia Mare	 | 	Romania	 | 	Maramures	 | 	149665
Brest	 | 	France	 | 	Bretagne	 | 	149634
Enschede	 | 	Netherlands	 | 	Overijssel	 | 	149544
Nikopol	 | 	Ukraine	 | 	Dnipropetrovsk	 | 	149000
Haarlem	 | 	Netherlands	 | 	Noord-Holland	 | 	148772
Buzau	 | 	Romania	 | 	Buzau	 | 	148372
Reading	 | 	United Kingdom	 | 	England	 | 	148000
Stara Zagora	 | 	Bulgaria	 | 	Haskovo	 | 	147939
Albacete	 | 	Spain	 | 	Kastilia-La Mancha	 | 	147527
Kragujevac	 | 	Yugoslavia	 | 	Central Serbia	 | 	147305
Elektrostal	 | 	Russian Federation	 | 	Moskova	 | 	147000
Dundee	 | 	United Kingdom	 | 	Scotland	 | 	146690
Šiauliai	 | 	Lithuania	 | 	Šiauliai	 | 	146563
West Bromwich	 | 	United Kingdom	 | 	England	 | 	146386
Le Mans	 | 	France	 | 	Pays de la Loire	 | 	146105
Oldbury/Smethwick (Warley)	 | 	United Kingdom	 | 	England	 | 	145542
Getafe	 | 	Spain	 | 	Madrid	 | 	145371
Middlesbrough	 | 	United Kingdom	 | 	England	 | 	145000
Rybnik	 | 	Poland	 | 	Slaskie	 | 	144582
Salzburg	 | 	Austria	 | 	Salzburg	 | 	144247
Oxford	 | 	United Kingdom	 | 	England	 | 	144000
Huddersfield	 | 	United Kingdom	 | 	England	 | 	143726
Reggio nell´ Emilia	 | 	Italy	 | 	Emilia-Romagna	 | 	143664
Banja Luka	 | 	Bosnia and Herzegovina	 | 	Republika Srpska	 | 	143079
Almere	 | 	Netherlands	 | 	Flevoland	 | 	142465
Cádiz	 | 	Spain	 | 	Andalusia	 | 	142449
Murom	 | 	Russian Federation	 | 	Vladimir	 | 	142400
Salerno	 | 	Italy	 | 	Campania	 | 	142055
Alcorcón	 | 	Spain	 | 	Madrid	 | 	142048
Kolpino	 | 	Russian Federation	 | 	Pietari	 | 	141200
Poole	 | 	United Kingdom	 | 	England	 | 	141000
Norilsk	 | 	Russian Federation	 | 	Krasnojarsk	 | 	140800
Almetjevsk	 | 	Russian Federation	 | 	Tatarstan	 | 	140700
Huelva	 | 	Spain	 | 	Andalusia	 | 	140583
Blackburn	 | 	United Kingdom	 | 	England	 | 	140000
León	 | 	Spain	 | 	Castilla and León	 | 	139809
Castellón de la Plana [Castell	 | 	Spain	 | 	Valencia	 | 	139712
Heidelberg	 | 	Germany	 | 	Baden-Württemberg	 | 	139672
Bolton	 | 	United Kingdom	 | 	England	 | 	139020
Newport	 | 	United Kingdom	 | 	Wales	 | 	139000
Ravenna	 | 	Italy	 | 	Emilia-Romagna	 | 	138418
Novomoskovsk	 | 	Russian Federation	 | 	Tula	 | 	138100
Arnhem	 | 	Netherlands	 | 	Gelderland	 | 	138020
Darmstadt	 | 	Germany	 | 	Hessen	 | 	137776
Paderborn	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	137647
Peristerion	 | 	Greece	 | 	Attika	 | 	137288
Clermont-Ferrand	 | 	France	 | 	Auvergne	 | 	137140
Dimitrovgrad	 | 	Russian Federation	 | 	Uljanovsk	 | 	137000
Walbrzych	 | 	Poland	 | 	Dolnoslaskie	 | 	136923
Badajoz	 | 	Spain	 | 	Extremadura	 | 	136613
Pervouralsk	 | 	Russian Federation	 | 	Sverdlovsk	 | 	136100
Zaanstad	 | 	Netherlands	 | 	Noord-Holland	 | 	135621
Amiens	 | 	France	 | 	Picardie	 | 	135501
Preston	 | 	United Kingdom	 | 	England	 | 	135000
Podgorica	 | 	Yugoslavia	 | 	Montenegro	 | 	135000
Aix-en-Provence	 | 	France	 | 	Provence-Alpes-Côte	 | 	134222
Limoges	 | 	France	 | 	Limousin	 | 	133968
Bruxelles [Brussel]	 | 	Belgium	 | 	Bryssel	 | 	133859
Himki	 | 	Russian Federation	 | 	Moskova	 | 	133700
Panevezys	 | 	Lithuania	 | 	Panevezys	 | 	133695
Nîmes	 | 	France	 | 	Languedoc-Roussillon	 | 	133424
Tychy	 | 	Poland	 | 	Slaskie	 | 	133178
Linköping	 | 	Sweden	 | 	East Götanmaan län	 | 	133168
Balašiha	 | 	Russian Federation	 | 	Moskova	 | 	132900
Tours	 | 	France	 | 	Centre	 | 	132820
Stockport	 | 	United Kingdom	 | 	England	 | 	132813
Nevinnomyssk	 | 	Russian Federation	 | 	Stavropol	 | 	132600
Pjatigorsk	 | 	Russian Federation	 | 	Stavropol	 | 	132500
Korolev	 | 	Russian Federation	 | 	Moskova	 | 	132400
Ferrara	 | 	Italy	 | 	Emilia-Romagna	 | 	132127
Serpuhov	 | 	Russian Federation	 | 	Moskova	 | 	132000
Rimini	 | 	Italy	 | 	Emilia-Romagna	 | 	131062
Dabrowa Górnicza	 | 	Poland	 | 	Slaskie	 | 	131037
Plock	 | 	Poland	 | 	Mazowieckie	 | 	131011
Satu Mare	 | 	Romania	 | 	Satu Mare	 | 	130059
Berdjansk	 | 	Ukraine	 | 	Zaporizzja	 | 	130000
Pinsk	 | 	Belarus	 | 	Brest	 | 	130000
Elblag	 | 	Poland	 | 	Warminsko-Mazurskie	 | 	129782
Opole	 | 	Poland	 | 	Opolskie	 | 	129553
´s-Hertogenbosch	 | 	Netherlands	 | 	Noord-Brabant	 | 	129170
Potsdam	 | 	Germany	 | 	Brandenburg	 | 	128983
Botosani	 | 	Romania	 | 	Botosani	 | 	128730
[San Cristóbal de] la Laguna	 | 	Spain	 | 	Canary Islands	 | 	127945
Odintsovo	 | 	Russian Federation	 | 	Moskova	 | 	127400
Würzburg	 | 	Germany	 | 	Baijeri	 | 	127350
Cork	 | 	Ireland	 | 	Munster	 | 	127187
Györ	 | 	Hungary	 | 	Györ-Moson-Sopron	 | 	127119
Logroño	 | 	Spain	 | 	La Rioja	 | 	127093
Pavlograd	 | 	Ukraine	 | 	Dnipropetrovsk	 | 	127000
Sjeverodonetsk	 | 	Ukraine	 | 	Lugansk	 | 	127000
Slovjansk	 | 	Ukraine	 | 	Donetsk	 | 	127000
Uzgorod	 | 	Ukraine	 | 	Taka-Karpatia	 | 	127000
Västerås	 | 	Sweden	 | 	Västmanlands län	 | 	126328
Syrakusa	 | 	Italy	 | 	Sisilia	 | 	126282
Amersfoort	 | 	Netherlands	 | 	Utrecht	 | 	126270
Gorzów Wielkopolski	 | 	Poland	 | 	Lubuskie	 | 	126019
Bender (Tîghina)	 | 	Moldova	 | 	Bender (Tîghina)	 | 	125700
Regensburg	 | 	Germany	 | 	Baijeri	 | 	125236
Piatra Neamt	 | 	Romania	 | 	Neamt	 | 	125070
Recklinghausen	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	125022
Orehovo-Zujevo	 | 	Russian Federation	 | 	Moskova	 | 	124900
Göttingen	 | 	Germany	 | 	Niedersachsen	 | 	124775
Kamyšin	 | 	Russian Federation	 | 	Volgograd	 | 	124600
Villeurbanne	 | 	France	 | 	Rhône-Alpes	 | 	124215
Örebro	 | 	Sweden	 | 	Örebros län	 | 	124207
Norwich	 | 	United Kingdom	 | 	England	 | 	124000
Orša	 | 	Belarus	 | 	Vitebsk	 | 	124000
Metz	 | 	France	 | 	Lorraine	 | 	123776
Novotšeboksarsk	 | 	Russian Federation	 | 	Tšuvassia	 | 	123400
Wloclawek	 | 	Poland	 | 	Kujawsko-Pomorskie	 | 	123373
Bremerhaven	 | 	Germany	 | 	Bremen	 | 	122735
Bern	 | 	Switzerland	 | 	Bern	 | 	122700
Norrköping	 | 	Sweden	 | 	East Götanmaan län	 | 	122199
Amadora	 | 	Portugal	 | 	Lisboa	 | 	122106
Maastricht	 | 	Netherlands	 | 	Limburg	 | 	122087
Wolfsburg	 | 	Germany	 | 	Niedersachsen	 | 	121954
Pleven	 | 	Bulgaria	 | 	Lovec	 | 	121952
Chorzów	 | 	Poland	 | 	Slaskie	 | 	121708
Tšerkessk	 | 	Russian Federation	 | 	Karatšai-Tšerkessia	 | 	121700
Atšinsk	 | 	Russian Federation	 | 	Krasnojarsk	 | 	121600
Tarnów	 | 	Poland	 | 	Malopolskie	 | 	121494
Rotherham	 | 	United Kingdom	 | 	England	 | 	121380
Bottrop	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	121097
Cambridge	 | 	United Kingdom	 | 	England	 | 	121000
Magadan	 | 	Russian Federation	 | 	Magadan	 | 	121000
Sassari	 | 	Italy	 | 	Sardinia	 | 	120803
Santa Coloma de Gramenet	 | 	Spain	 | 	Katalonia	 | 	120802
Oulu	 | 	Finland	 | 	Pohjois-Pohjanmaa	 | 	120753
Mitšurinsk	 | 	Russian Federation	 | 	Tambov	 | 	120700
Kislovodsk	 | 	Russian Federation	 | 	Stavropol	 | 	120400
Remscheid	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	120125
Dordrecht	 | 	Netherlands	 | 	Zuid-Holland	 | 	119811
Râmnicu Vâlcea	 | 	Romania	 | 	Vâlcea	 | 	119741
Heilbronn	 | 	Germany	 | 	Baden-Württemberg	 | 	119526
Monza	 | 	Italy	 | 	Lombardia	 | 	119516
Jelets	 | 	Russian Federation	 | 	Lipetsk	 | 	119400
Altševsk	 | 	Ukraine	 | 	Lugansk	 | 	119000
Seversk	 | 	Russian Federation	 | 	Tomsk	 | 	118600
Suceava	 | 	Romania	 | 	Suceava	 | 	118549
Zielona Góra	 | 	Poland	 | 	Lubuskie	 | 	118182
Drobeta-Turnu Severin	 | 	Romania	 | 	Mehedinti	 | 	117865
Bergamo	 | 	Italy	 | 	Lombardia	 | 	117837
Helsingborg	 | 	Sweden	 | 	Skåne län	 | 	117737
Besançon	 | 	France	 | 	Franche-Comté	 | 	117733
Pforzheim	 | 	Germany	 | 	Baden-Württemberg	 | 	117227
Noginsk	 | 	Russian Federation	 | 	Moskova	 | 	117200
Leiden	 | 	Netherlands	 | 	Zuid-Holland	 | 	117196
Jönköping	 | 	Sweden	 | 	Jönköpings län	 | 	117095
Offenbach am Main	 | 	Germany	 | 	Hessen	 | 	116627
Velikije Luki	 | 	Russian Federation	 | 	Pihkova	 | 	116300
Brugge	 | 	Belgium	 | 	West Flanderi	 | 	116246
Novokuibyševsk	 | 	Russian Federation	 | 	Samara	 | 	116200
Herakleion	 | 	Greece	 | 	Crete	 | 	116178
Ulm	 | 	Germany	 | 	Baden-Württemberg	 | 	116103
Lysytšansk	 | 	Ukraine	 | 	Lugansk	 | 	116000
Neftekamsk	 | 	Russian Federation	 | 	Baškortostan	 | 	115700
Pescara	 | 	Italy	 | 	Abruzzit	 | 	115698
Maribor	 | 	Slovenia	 | 	Podravska	 | 	115532
Daugavpils	 | 	Latvia	 | 	Daugavpils	 | 	114829
Ingolstadt	 | 	Germany	 | 	Baijeri	 | 	114826
Gera	 | 	Germany	 | 	Thüringen	 | 	114718
Lausanne	 | 	Switzerland	 | 	Vaud	 | 	114500
Kallithea	 | 	Greece	 | 	Attika	 | 	114233
Latina	 | 	Italy	 | 	Latium	 | 	114099
Ipswich	 | 	United Kingdom	 | 	England	 | 	114000
Caen	 | 	France	 | 	Basse-Normandie	 | 	113987
Leninsk-Kuznetski	 | 	Russian Federation	 | 	Kemerovo	 | 	113800
Orléans	 | 	France	 | 	Centre	 | 	113126
Larisa	 | 	Greece	 | 	Thessalia	 | 	113090
Watford	 | 	United Kingdom	 | 	England	 | 	113080
Tarragona	 | 	Spain	 | 	Katalonia	 | 	113016
Salzgitter	 | 	Germany	 | 	Niedersachsen	 | 	112934
Nyiregyháza	 | 	Hungary	 | 	Szabolcs-Szatmár-Ber	 | 	112419
Koszalin	 | 	Poland	 | 	Zachodnio-Pomorskie	 | 	112375
Lleida (Lérida)	 | 	Spain	 | 	Katalonia	 | 	112207
Slough	 | 	United Kingdom	 | 	England	 | 	112000
Jevpatorija	 | 	Ukraine	 | 	Krim	 | 	112000
Innsbruck	 | 	Austria	 | 	Tiroli	 | 	111752
Oktjabrski	 | 	Russian Federation	 | 	Baškortostan	 | 	111500
Sergijev Posad	 | 	Russian Federation	 | 	Moskova	 | 	111100
Exeter	 | 	United Kingdom	 | 	England	 | 	111000
Cottbus	 | 	Germany	 | 	Brandenburg	 | 	110894
Haarlemmermeer	 | 	Netherlands	 | 	Noord-Holland	 | 	110722
Arzamas	 | 	Russian Federation	 | 	Nizni Novgorod	 | 	110700
Mulhouse	 | 	France	 | 	Alsace	 | 	110359
Reutlingen	 | 	Germany	 | 	Baden-Württemberg	 | 	110343
Zoetermeer	 | 	Netherlands	 | 	Zuid-Holland	 | 	110214
Mozyr	 | 	Belarus	 | 	Gomel	 | 	110000
Kiseljovsk	 | 	Russian Federation	 | 	Kemerovo	 | 	110000
Fürth	 | 	Germany	 | 	Baijeri	 | 	109771
Vicenza	 | 	Italy	 | 	Veneto	 | 	109738
Novotroitsk	 | 	Russian Federation	 | 	Orenburg	 | 	109600
Legnica	 | 	Poland	 | 	Dolnoslaskie	 | 	109335
Jaén	 | 	Spain	 | 	Andalusia	 | 	109247
Siegen	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	109225
Reykjavík	 | 	Iceland	 | 	Höfuðborgarsvæði	 | 	109184
Ourense (Orense)	 | 	Spain	 | 	Galicia	 | 	109120
Kamjanets-Podilskyi	 | 	Ukraine	 | 	Hmelnytskyi	 | 	109000
Stavanger	 | 	Norway	 | 	Rogaland	 | 	108848
Obninsk	 | 	Russian Federation	 | 	Kaluga	 | 	108300
Koblenz	 | 	Germany	 | 	Rheinland-Pfalz	 | 	108003
Terni	 | 	Italy	 | 	Umbria	 | 	107770
Forlì	 | 	Italy	 | 	Emilia-Romagna	 | 	107475
Kansk	 | 	Russian Federation	 | 	Krasnojarsk	 | 	107400
Gloucester	 | 	United Kingdom	 | 	England	 | 	107000
Moers	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	106837
Kalisz	 | 	Poland	 | 	Wielkopolskie	 | 	106641
Rouen	 | 	France	 | 	Haute-Normandie	 | 	106592
Boulogne-Billancourt	 | 	France	 | 	Île-de-France	 | 	106367
Glazov	 | 	Russian Federation	 | 	Udmurtia	 | 	106300
Saint Helens	 | 	United Kingdom	 | 	England	 | 	106293
Bergisch Gladbach	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	106150
Sutton Coldfield	 | 	United Kingdom	 | 	England	 | 	106001
Cheltenham	 | 	United Kingdom	 | 	England	 | 	106000
Novopolotsk	 | 	Belarus	 | 	Vitebsk	 | 	106000
Solikamsk	 | 	Russian Federation	 | 	Perm	 | 	106000
Emmen	 | 	Netherlands	 | 	Drenthe	 | 	105853
Zwolle	 | 	Netherlands	 | 	Overijssel	 | 	105819
Sarapul	 | 	Russian Federation	 | 	Udmurtia	 | 	105700
Schaerbeek	 | 	Belgium	 | 	Bryssel	 | 	105692
Kecskemét	 | 	Hungary	 | 	Bács-Kiskun	 | 	105606
Sliven	 | 	Bulgaria	 | 	Burgas	 | 	105530
Namur	 | 	Belgium	 | 	Namur	 | 	105419
Ust-Ilimsk	 | 	Russian Federation	 | 	Irkutsk	 | 	105200
Székesfehérvár	 | 	Hungary	 | 	Fejér	 | 	105119
Perpignan	 | 	France	 | 	Languedoc-Roussillon	 | 	105115
Jenakijeve	 | 	Ukraine	 | 	Donetsk	 | 	105000
Trento	 | 	Italy	 | 	Trentino-Alto Adige	 | 	104906
Štšolkovo	 | 	Russian Federation	 | 	Moskova	 | 	104900
Osijek	 | 	Croatia	 | 	Osijek-Baranja	 | 	104761
Umeå	 | 	Sweden	 | 	Västerbottens län	 | 	104512
York	 | 	United Kingdom	 | 	England	 | 	104425
Mezduretšensk	 | 	Russian Federation	 | 	Kemerovo	 | 	104400
Zwickau	 | 	Germany	 | 	Saksi	 | 	104146
Mataró	 | 	Spain	 | 	Katalonia	 | 	104095
Hildesheim	 | 	Germany	 | 	Niedersachsen	 | 	104013
Oldham	 | 	United Kingdom	 | 	England	 | 	103931
Nancy	 | 	France	 | 	Lorraine	 | 	103605
Usolje-Sibirskoje	 | 	Russian Federation	 | 	Irkutsk	 | 	103500
Witten	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	103384
Elista	 | 	Russian Federation	 | 	Kalmykia	 | 	103300
Algeciras	 | 	Spain	 | 	Andalusia	 | 	103106
Schwerin	 | 	Germany	 | 	Mecklenburg-Vorpomme	 | 	102878
Olomouc	 | 	Czech Republic	 | 	Severní Morava	 | 	102702
Grudziadz	 | 	Poland	 | 	Kujawsko-Pomorskie	 | 	102434
Slupsk	 | 	Poland	 | 	Pomorskie	 | 	102370
Jastrzebie-Zdrój	 | 	Poland	 | 	Slaskie	 | 	102294
Novara	 | 	Italy	 | 	Piemonte	 | 	102037
Novošahtinsk	 | 	Russian Federation	 | 	Rostov-na-Donu	 | 	101900
Votkinsk	 | 	Russian Federation	 | 	Udmurtia	 | 	101700
Ede	 | 	Netherlands	 | 	Gelderland	 | 	101574
Bærum	 | 	Norway	 | 	Akershus	 | 	101340
Tartu	 | 	Estonia	 | 	Tartumaa	 | 	101246
Marbella	 | 	Spain	 | 	Andalusia	 | 	101144
Kyzyl	 | 	Russian Federation	 | 	Tyva	 | 	101100
Krasnyi Lutš	 | 	Ukraine	 | 	Lugansk	 | 	101000
Stahanov	 | 	Ukraine	 | 	Lugansk	 | 	101000
Lida	 | 	Belarus	 | 	Grodno	 | 	101000
Soligorsk	 | 	Belarus	 | 	Minsk	 | 	101000
Basildon	 | 	United Kingdom	 | 	England	 | 	100924
Erlangen	 | 	Germany	 | 	Baijeri	 | 	100750
Serov	 | 	Russian Federation	 | 	Sverdlovsk	 | 	100400
Dobric	 | 	Bulgaria	 | 	Varna	 | 	100399
Subotica	 | 	Yugoslavia	 | 	Vojvodina	 | 	100386
Zelenodolsk	 | 	Russian Federation	 | 	Tatarstan	 | 	100200
Zeleznodoroznyi	 | 	Russian Federation	 | 	Moskova	 | 	100100
Kaiserslautern	 | 	Germany	 | 	Rheinland-Pfalz	 | 	100025
Worthing	 | 	United Kingdom	 | 	England	 | 	100000
Kinešma	 | 	Russian Federation	 | 	Ivanovo	 | 	100000
Trier	 | 	Germany	 | 	Rheinland-Pfalz	 | 	99891
Jena	 | 	Germany	 | 	Thüringen	 | 	99779
Iserlohn	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	99474
Liberec	 | 	Czech Republic	 | 	Severní Cechy	 | 	99155
Oleksandrija	 | 	Ukraine	 | 	Kirovograd	 | 	99000
Târgoviste	 | 	Romania	 | 	Dâmbovita	 | 	98980
Focsani	 | 	Romania	 | 	Vrancea	 | 	98979
Lund	 | 	Sweden	 | 	Skåne län	 | 	98948
Târgu Jiu	 | 	Romania	 | 	Gorj	 | 	98524
Piacenza	 | 	Italy	 | 	Emilia-Romagna	 | 	98384
Ancona	 | 	Italy	 | 	Marche	 | 	98329
Barakaldo	 | 	Spain	 | 	Baskimaa	 | 	98212
Lecce	 | 	Italy	 | 	Apulia	 | 	98208
Kuznetsk	 | 	Russian Federation	 | 	Penza	 | 	98200
Ceské Budejovice	 | 	Czech Republic	 | 	Jizní Cechy	 | 	98186
Hradec Králové	 | 	Czech Republic	 | 	Východní Cechy	 | 	98080
Uhta	 | 	Russian Federation	 | 	Komi	 | 	98000
Jaworzno	 | 	Poland	 | 	Slaskie	 | 	97929
Jessentuki	 | 	Russian Federation	 | 	Stavropol	 | 	97900
Tobolsk	 | 	Russian Federation	 | 	Tjumen	 | 	97600
Chelmsford	 | 	United Kingdom	 | 	England	 | 	97451
Neftejugansk	 | 	Russian Federation	 | 	Hanti-Mansia	 | 	97400
Bataisk	 | 	Russian Federation	 | 	Rostov-na-Donu	 | 	97300
Nojabrsk	 | 	Russian Federation	 | 	Yamalin Nenetsia	 | 	97300
Bolzano	 | 	Italy	 | 	Trentino-Alto Adige	 | 	97232
Balašov	 | 	Russian Federation	 | 	Saratov	 | 	97100
Crawley	 | 	United Kingdom	 | 	England	 | 	97000
Molodetšno	 | 	Belarus	 | 	Minsk	 | 	97000
Roubaix	 | 	France	 | 	Nord-Pas-de-Calais	 | 	96984
Lahti	 | 	Finland	 | 	Päijät-Häme	 | 	96921
Zeleznogorsk	 | 	Russian Federation	 | 	Kursk	 | 	96900
Borås	 | 	Sweden	 | 	West Götanmaan län	 | 	96883
Catanzaro	 | 	Italy	 | 	Calabria	 | 	96700
Zukovski	 | 	Russian Federation	 | 	Moskova	 | 	96500
Tulcea	 | 	Romania	 | 	Tulcea	 | 	96278
Coímbra	 | 	Portugal	 | 	Coímbra	 | 	96100
Anzero-Sudzensk	 | 	Russian Federation	 | 	Kemerovo	 | 	96100
Colchester	 | 	United Kingdom	 | 	England	 | 	96063
Zenica	 | 	Bosnia and Herzegovina	 | 	Federaatio	 | 	96027
Konotop	 | 	Ukraine	 | 	Sumy	 | 	96000
La Spezia	 | 	Italy	 | 	Liguria	 | 	95504
Ústí nad Labem	 | 	Czech Republic	 | 	Severní Cechy	 | 	95491
Delft	 | 	Netherlands	 | 	Zuid-Holland	 | 	95268
Heerlen	 | 	Netherlands	 | 	Limburg	 | 	95052
Gütersloh	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	95028
Worcester	 | 	United Kingdom	 | 	England	 | 	95000
Kostjantynivka	 | 	Ukraine	 | 	Donetsk	 | 	95000
Udine	 | 	Italy	 | 	Friuli-Venezia Giuli	 | 	94932
Šumen	 | 	Bulgaria	 | 	Varna	 | 	94686
Dos Hermanas	 | 	Spain	 | 	Andalusia	 | 	94591
Solihull	 | 	United Kingdom	 | 	England	 | 	94531
Torre del Greco	 | 	Italy	 | 	Campania	 | 	94505
Andria	 | 	Italy	 | 	Apulia	 | 	94443
Rochdale	 | 	United Kingdom	 | 	England	 | 	94313
Bugulma	 | 	Russian Federation	 | 	Tatarstan	 | 	94100
Zeleznogorsk	 | 	Russian Federation	 | 	Krasnojarsk	 | 	94000
Prešov	 | 	Slovakia	 | 	Východné Slovensko	 | 	93977
Resita	 | 	Romania	 | 	Caras-Severin	 | 	93976
Argenteuil	 | 	France	 | 	Île-de-France	 | 	93961
Jelenia Góra	 | 	Poland	 | 	Dolnoslaskie	 | 	93901
Santiago de Compostela	 | 	Spain	 | 	Galicia	 | 	93745
Marl	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	93735
Tourcoing	 | 	France	 | 	Nord-Pas-de-Calais	 | 	93540
Brindisi	 | 	Italy	 | 	Apulia	 | 	93454
Novouralsk	 | 	Russian Federation	 | 	Sverdlovsk	 | 	93300
Giugliano in Campania	 | 	Italy	 | 	Campania	 | 	93286
Sundsvall	 | 	Sweden	 | 	Västernorrlands län	 | 	93126
Birkenhead	 | 	United Kingdom	 | 	England	 | 	93087
Puškin	 | 	Russian Federation	 | 	Pietari	 | 	92900
Alkmaar	 | 	Netherlands	 | 	Noord-Holland	 | 	92713
Vorkuta	 | 	Russian Federation	 | 	Komi	 | 	92600
Pisa	 | 	Italy	 | 	Toscana	 | 	92379
Prizren	 | 	Yugoslavia	 | 	Kosovo and Metohija	 | 	92303
Derbent	 | 	Russian Federation	 | 	Dagestan	 | 	92300
Torrejón de Ardoz	 | 	Spain	 | 	Madrid	 | 	92262
Lünen	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	92044
Gillingham	 | 	United Kingdom	 | 	England	 | 	92000
Hartlepool	 | 	United Kingdom	 | 	England	 | 	92000
Woking/Byfleet	 | 	United Kingdom	 | 	England	 | 	92000
Barletta	 | 	Italy	 | 	Apulia	 | 	91904
Arezzo	 | 	Italy	 | 	Toscana	 | 	91729
Kirovo-Tšepetsk	 | 	Russian Federation	 | 	Kirov	 | 	91600
Pardubice	 | 	Czech Republic	 | 	Východní Cechy	 | 	91309
Klagenfurt	 | 	Austria	 | 	Kärnten	 | 	91141
Düren	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	91092
Halifax	 | 	United Kingdom	 | 	England	 | 	91069
Krasnogorsk	 | 	Russian Federation	 | 	Moskova	 | 	91000
Southport	 | 	United Kingdom	 | 	England	 | 	90959
Ratingen	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	90951
Mons	 | 	Belgium	 | 	Hainaut	 | 	90935
Maidstone	 | 	United Kingdom	 | 	England	 | 	90878
Gävle	 | 	Sweden	 | 	Gävleborgs län	 | 	90742
Montreuil	 | 	France	 | 	Île-de-France	 | 	90674
Braga	 | 	Portugal	 | 	Braga	 | 	90535
Frederiksberg	 | 	Denmark	 | 	Frederiksberg	 | 	90327
Alessandria	 | 	Italy	 | 	Piemonte	 | 	90289
Eastbourne	 | 	United Kingdom	 | 	England	 | 	90000
Berdytšiv	 | 	Ukraine	 | 	Zytomyr	 | 	90000
Izmajil	 | 	Ukraine	 | 	Odesa	 | 	90000
Šostka	 | 	Ukraine	 | 	Sumy	 | 	90000
Uman	 | 	Ukraine	 | 	Tšerkasy	 | 	90000
Klin	 | 	Russian Federation	 | 	Moskova	 | 	90000
Tšaikovski	 | 	Russian Federation	 | 	Perm	 | 	90000
Velbert	 | 	Germany	 | 	Nordrhein-Westfalen	 | 	89881
Cesena	 | 	Italy	 | 	Emilia-Romagna	 | 	89852
Novyi Urengoi	 | 	Russian Federation	 | 	Yamalin Nenetsia	 | 	89800
Esslingen am Neckar	 | 	Germany	 | 	Baden-Württemberg	 | 	89667
Liepaja	 | 	Latvia	 | 	Liepaja	 | 	89439
Grimsby	 | 	United Kingdom	 | 	England	 | 	89000
Brovary	 | 	Ukraine	 | 	Kiova	 | 	89000
Mukatševe	 | 	Ukraine	 | 	Taka-Karpatia	 | 	89000
Pesaro	 | 	Italy	 | 	Marche	 | 	88987
Luxembourg [Luxemburg/Lëtzebuerg]	 | 	Luxembourg	 | 	Luxembourg	 | 	80700
